date,district,fatalities,event_type_Battles,event_type_Explosions/Remote violence,event_type_Protests,event_type_Riots,event_type_Strategic developments,event_type_Violence against civilians,inter_1,inter_2,inter_3,inter_4,inter_5,inter_6,inter_7,inter_8
2017-07-01,Adan Yabaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,Adan Yabaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,Adan Yabaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,Adan Yabaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,Adan Yabaal,15,4,0,0,0,3,2,1,7,1,1,0,0,3,0
2020-01-01,Adan Yabaal,26,6,4,0,0,0,4,2,14,2,0,0,0,7,1
2020-07-01,Adan Yabaal,8,1,2,0,0,0,2,0,5,0,0,0,0,3,0
2021-01-01,Adan Yabaal,0,0,1,0,0,1,2,1,3,0,0,0,0,4,0
2021-07-01,Adan Yabaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,Afgooye,212,54,32,0,0,3,22,51,89,10,4,0,0,25,37
2018-01-01,Afgooye,412,75,47,3,2,13,23,93,126,20,5,2,3,32,34
2018-07-01,Afgooye,252,59,37,1,0,3,16,64,101,6,1,0,1,18,35
2019-01-01,Afgooye,145,49,33,0,1,4,17,63,73,19,3,1,0,24,21
2019-07-01,Afgooye,173,54,17,0,0,9,15,52,72,18,0,0,0,22,20
2020-01-01,Afgooye,336,77,32,0,1,2,22,93,97,27,1,1,0,30,18
2020-07-01,Afgooye,184,84,28,1,0,3,18,102,106,15,3,0,1,24,13
2021-01-01,Afgooye,242,123,21,2,0,1,9,120,143,8,0,0,2,12,26
2021-07-01,Afgooye,162,141,18,0,0,1,9,141,164,2,0,0,0,10,21
2017-07-01,Afmadow,82,7,7,1,0,2,3,7,16,1,0,0,1,4,11
2018-01-01,Afmadow,36,14,3,0,0,2,5,9,20,2,0,0,0,6,10
2018-07-01,Afmadow,61,18,12,0,0,3,2,18,28,1,2,0,0,2,14
2019-01-01,Afmadow,34,4,3,2,0,3,2,5,10,2,0,0,2,2,4
