date,next_prevalence,district,district_encoded,sub_event_type_Violent demonstration,sub_event_type_Suicide bomb,sub_event_type_Shelling/artillery/missile attack,sub_event_type_Sexual violence,sub_event_type_Remote explosive/landmine/IED,sub_event_type_Protest with intervention,sub_event_type_Peaceful protest,sub_event_type_Other,sub_event_type_Non-violent transfer of territory
2017-07-01,0.1689999999999999,Zeylac,73,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2017-07-01,0.2027999999999999,Buuhoodle,20,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2017-07-01,0.2886,Buur Hakaba,21,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Cadale,24,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2017-07-01,0.3432,Caluula,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.2911999999999999,Caynabo,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3367,Ceel Afweyn,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.4211999999999999,Ceel Dheer,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-01,0.3925999999999998,Ceel Waaq,31,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
2017-07-01,0.4212,Ceel Buur,29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2017-07-01,0.3367000000000001,Ceerigaabo,32,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2017-07-01,0.4212,Dhuusamarreeb,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2017-07-01,0.2886000000000001,Diinsoor,34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Bulo Burto,17,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0
2017-07-01,0.3926,Doolow,35,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2017-07-01,0.3925999999999999,Bu'aale,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.1690000000000001,Borama,14,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0
2017-07-01,0.351,Afgooye,1,1.0,1.0,7.0,0.0,35.0,0.0,0.0,0.0,4.0
2017-07-01,0.3925999999999999,Afmadow,2,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0
2017-07-01,0.3925999999999999,Baardheere,3,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Badhaadhe,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Balcad,6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2017-07-01,0.3510000000000001,Baraawe,9,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Belet Weyne,11,2.0,0.0,4.0,0.0,8.0,1.0,5.0,0.0,4.0
2017-07-01,0.1976,Berbera,13,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2017-07-01,0.3432,Bossaso,15,4.0,1.0,3.0,0.0,10.0,1.0,2.0,0.0,0.0
2017-07-01,0.3795999999999999,Eyl,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.4862,Xudur,72,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0
2017-07-01,0.2028,Owdweyne,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2017-07-01,0.3431999999999999,Qandala,58,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0
2017-07-01,0.2886,Qansax Dheere,59,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2017-07-01,0.3432,Qardho,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Qoryooley,61,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0
2017-07-01,0.4861999999999999,Rab Dhuure,62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2017-07-01,0.4861999999999999,Tayeeglow,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-01,0.4861999999999999,Waajid,68,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
2017-07-01,0.351,Wanla Weyn,69,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0
2017-07-01,0.4004000000000001,Xarardheere,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-01,0.4004,Gaalkacyo,37,3.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0
2017-07-01,0.351,Marka,56,0.0,0.0,12.0,0.0,22.0,0.0,1.0,0.0,4.0
2017-07-01,0.3925999999999999,Saakow,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Luuq,55,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2017-07-01,0.3795999999999999,Garoowe,40,5.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0
2017-07-01,0.1975999999999999,Gebiley,41,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2017-07-01,0.1975999999999999,Hargeysa,42,9.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
2017-07-01,0.4003999999999999,Hobyo,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3432,Iskushuban,44,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2017-07-01,0.3925999999999999,Jalalaqsi,45,0.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
2017-07-01,0.3926,Jamaame,46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Garbahaarey,39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Jilib,48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2017-07-01,0.351,Jowhar,49,0.0,0.0,9.0,0.0,30.0,1.0,3.0,0.0,5.0
