date,next_prevalence,district,GAM Prevalence,actor2_Police Forces of Somaliland (2010-),interaction_12,fatalities,interaction_27,actor2_Al Shabaab,district_encoded,actor1_Police Forces of Somalia (2017-2022),actor1_Military Forces of Somalia (2017-2022),actor2_Military Forces of Somalia (2017-2022)
2017-07-01,0.1689999999999999,Zeylac,0.3796,3.0,0.0,1.0,0.0,0.0,73,0.0,0.0,0.0
2017-07-01,0.2027999999999999,Buuhoodle,0.3406000000000001,1.0,1.0,41.0,1.0,1.0,20,0.0,0.0,0.0
2017-07-01,0.2886,Buur Hakaba,0.3588,0.0,21.0,104.0,7.0,35.0,21,0.0,3.0,0.0
2017-07-01,0.351,Cadale,0.3691999999999999,0.0,4.0,34.0,2.0,7.0,24,0.0,1.0,0.0
2017-07-01,0.3432,Caluula,0.4056,0.0,1.0,0.0,0.0,1.0,25,0.0,0.0,0.0
2017-07-01,0.2911999999999999,Caynabo,0.442,1.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0
2017-07-01,0.3367,Ceel Afweyn,0.4446,2.0,0.0,7.0,0.0,0.0,27,0.0,0.0,0.0
2017-07-01,0.4211999999999999,Ceel Dheer,0.52,0.0,5.0,42.0,1.0,11.0,30,0.0,0.0,0.0
2017-07-01,0.3925999999999998,Ceel Waaq,0.4315999999999999,0.0,12.0,81.0,0.0,29.0,31,0.0,3.0,0.0
2017-07-01,0.4212,Ceel Buur,0.52,0.0,4.0,159.0,4.0,20.0,29,0.0,0.0,0.0
2017-07-01,0.3367000000000001,Ceerigaabo,0.4446,7.0,0.0,31.0,0.0,0.0,32,0.0,0.0,0.0
2017-07-01,0.4212,Dhuusamarreeb,0.5273255872387238,0.0,1.0,71.0,0.0,4.0,33,0.0,0.0,0.0
2017-07-01,0.2886000000000001,Diinsoor,0.3588,0.0,21.0,71.0,4.0,27.0,34,2.0,1.0,0.0
2017-07-01,0.3926,Bulo Burto,0.429,0.0,9.0,629.0,9.0,44.0,17,0.0,1.0,0.0
2017-07-01,0.3926,Doolow,0.4356257436740676,0.0,2.0,4.0,4.0,2.0,35,1.0,0.0,0.0
2017-07-01,0.3925999999999999,Bu'aale,0.4316,0.0,1.0,72.0,3.0,8.0,16,0.0,0.0,0.0
