date,next_prevalence,district,district_encoded,number_conflicts,count_actors_4,count_actors_3,count_actors_2,count_actors_1,source_scale_Subnational-National,source_scale_Subnational,source_scale_Regional,source_scale_Other-Subnational
2017-07-01,0.1689999999999999,Zeylac,73,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2017-07-01,0.2027999999999999,Buuhoodle,20,11,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0
2017-07-01,0.2886,Buur Hakaba,21,28,0.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Cadale,24,8,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3432,Caluula,25,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.2911999999999999,Caynabo,26,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3367,Ceel Afweyn,27,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.4211999999999999,Ceel Dheer,30,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3925999999999998,Ceel Waaq,31,20,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.4212,Ceel Buur,29,6,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3367000000000001,Ceerigaabo,32,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2017-07-01,0.4212,Dhuusamarreeb,33,10,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.2886000000000001,Diinsoor,34,16,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Bulo Burto,17,27,0.0,5.0,22.0,0.0,0.0,0.0,1.0,0.0
2017-07-01,0.3926,Doolow,35,4,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Bu'aale,16,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.1690000000000001,Borama,14,4,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Afgooye,1,111,0.0,22.0,89.0,0.0,1.0,6.0,0.0,1.0
2017-07-01,0.3925999999999999,Afmadow,2,20,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Baardheere,3,34,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Badhaadhe,4,19,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Balcad,6,16,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3510000000000001,Baraawe,9,20,0.0,3.0,17.0,0.0,0.0,3.0,0.0,2.0
2017-07-01,0.3926,Belet Weyne,11,64,0.0,15.0,49.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.1976,Berbera,13,8,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0
2017-07-01,0.3432,Bossaso,15,51,0.0,13.0,35.0,3.0,0.0,0.0,0.0,0.0
2017-07-01,0.3795999999999999,Eyl,36,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.4862,Xudur,72,14,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.2028,Owdweyne,57,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3431999999999999,Qandala,58,16,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0
2017-07-01,0.2886,Qansax Dheere,59,8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3432,Qardho,60,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Qoryooley,61,33,0.0,10.0,23.0,0.0,0.0,4.0,0.0,0.0
2017-07-01,0.4861999999999999,Rab Dhuure,62,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.4861999999999999,Tayeeglow,67,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.4861999999999999,Waajid,68,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Wanla Weyn,69,20,0.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0
2017-07-01,0.4004000000000001,Xarardheere,70,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.4004,Gaalkacyo,37,50,1.0,18.0,31.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.351,Marka,56,68,3.0,17.0,47.0,1.0,0.0,1.0,0.0,0.0
2017-07-01,0.3925999999999999,Saakow,63,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Luuq,55,8,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3795999999999999,Garoowe,40,14,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.1975999999999999,Gebiley,41,3,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.1975999999999999,Hargeysa,42,17,0.0,3.0,11.0,3.0,0.0,0.0,1.0,0.0
2017-07-01,0.4003999999999999,Hobyo,43,12,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3432,Iskushuban,44,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3925999999999999,Jalalaqsi,45,10,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.3926,Jamaame,46,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
