date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,SAM/GAM ratio
2021-07-01,Adan Yabaal,,17190.000000000004,4930.0,,710.0,0.2867946480511925,0.0413030831878999,0.1440162271805274
2021-07-01,Afgooye,,94444.6,43800.0,,8930.0,0.4637639420358601,0.094552785442471,0.2038812785388128
2021-07-01,Afmadow,,46703.8,18290.0,,4150.0,0.3916169562219776,0.0888578659552327,0.2268999453253144
2021-07-01,Baardheere,,34453.399999999994,13330.0,,2230.0,0.3868994061543999,0.0647251069560624,0.1672918229557389
2021-07-01,Badhaadhe,,14272.6,5790.0,,1330.0,0.4056724072698737,0.0931855443296946,0.229706390328152
2021-07-01,Baidoa,,124149.8,56660.0,,10980.0,0.456384142382831,0.0884415440057092,0.1937875044122838
2021-07-01,Baki,,11187.800000000005,3470.0,,640.0,0.3101592806449881,0.0572051699172312,0.1844380403458213
2021-07-01,Balcad,,66924.0,28430.0,,5720.0,0.4248102325025402,0.0854700854700854,0.2011959198030249
2021-07-01,Banadir,,536662.4,252820.0,,48480.0,0.4710969130686256,0.090336121926932,0.1917569812514832
2021-07-01,Bandarbeyla,,8487.2,3520.0,,360.0,0.4147422000188518,0.0424168159110189,0.1022727272727272
2021-07-01,Baraawe,,10954.96872849647,5100.0,,1060.0,0.4655421778369564,0.0967597467661125,0.207843137254902
2021-07-01,Belet Weyne,,57552.2,17680.0,,3020.0,0.3071993772609909,0.0524741017719565,0.170814479638009
2021-07-01,Belet Xaawo,,29314.599988469865,9820.0,,1310.0,0.3349866620681312,0.0446876300722252,0.1334012219959267
2021-07-01,Berbera,,32142.000000000004,8870.0,,1630.0,0.2759629145666106,0.0507124634434696,0.1837655016910936
2021-07-01,Borama,,73034.20000000001,20250.0,,3930.0,0.2772673624137732,0.0538104066314137,0.194074074074074
2021-07-01,Bossaso,,134272.59999999998,57500.0,,8400.0,0.4282333104445733,0.0625593010040767,0.1460869565217391
2021-07-01,Bu'aale,,25271.000000000004,10130.0,,2490.0,0.4008547346761109,0.0985319140516797,0.2458045409674235
2021-07-01,Bulo Burto,,17041.2,5900.0,,1100.0,0.3462197497828791,0.064549444874774,0.1864406779661017
2021-07-01,Burco,,88063.8,12080.0,,910.0,0.1371732766471581,0.0103334173633206,0.0753311258278145
2021-07-01,Burtinle,,22036.6,8930.0,,1150.0,0.405234927348139,0.0521859088970167,0.1287793952967525
2021-07-01,Buuhoodle,,16480.0,3400.0,,380.0,0.2063106796116504,0.0230582524271844,0.1117647058823529
2021-07-01,Buur Hakaba,,34560.60000000001,14700.0,,3560.0,0.4253398378500371,0.103007470935111,0.2421768707482993
2021-07-01,Cabudwaaq,,35884.8,14620.0,,2000.0,0.4074148385946138,0.0557339040485107,0.1367989056087551
2021-07-01,Cadaado,,23026.4,9210.0,,1250.0,0.3999756800889413,0.054285515755828,0.1357220412595005
2021-07-01,Cadale,,13885.0,3990.0,,580.0,0.2873604609290601,0.0417716960749009,0.1453634085213032
2021-07-01,Caluula,,16168.600000000008,5560.0,,870.0,0.3438764024096086,0.0538079982187696,0.1564748201438849
2021-07-01,Caynabo,,16276.000000000004,3540.0,,270.0,0.2174981567952813,0.0165888424674367,0.0762711864406779
2021-07-01,Ceel Afweyn,,15731.000000000004,4090.0,,470.0,0.2599961858750237,0.0298773123132667,0.1149144254278728
2021-07-01,Ceel Barde,,14268.4,8470.0,,1630.0,0.593619466793754,0.114238457009896,0.1924439197166469
2021-07-01,Ceel Buur,,18385.4,6590.0,,810.0,0.3584365855515789,0.0440566971618784,0.1229135053110774
2021-07-01,Ceel Dheer,,17808.0,6000.0,,800.0,0.3369272237196765,0.0449236298292902,0.1333333333333333
2021-07-01,Ceel Waaq,,17519.2,6210.0,,920.0,0.3544682405589296,0.0525138134161377,0.1481481481481481
2021-07-01,Ceerigaabo,,30012.0,6740.0,,720.0,0.2245768359322937,0.0239904038384646,0.1068249258160237
