prevalence_6lag,covid,ndvi,ipc,population,month,district_encoded,district,date,next_prevalence,predictions
0.3607539512669208,3310.0,0.20666666666666667,0.09,158305.84798228322,7,28,Burtinle,2020-07-01,0.3781725888324873,0.38400646512598485
0.2932033874905685,3310.0,0.16166666666666665,0.11,238943.83260569465,7,50,Garoowe,2020-07-01,0.3128870890900428,0.307259778534552
0.3964549089065016,3310.0,0.14666666666666667,0.08,144645.3749179251,7,72,Qardho,2020-07-01,0.3539238539238539,0.3797104402032957
0.4261285631981143,3310.0,0.25666666666666665,0.21,71451.00452711528,7,45,Doolow,2020-07-01,0.3641207815275311,0.4063557231102684
0.3383899894950222,3310.0,0.1416666666666667,0.12,186214.57602082423,7,54,Iskushuban,2020-07-01,0.2954636692091529,0.340857469682371
0.4954915340016362,3310.0,0.305,0.08,257210.9053470947,7,17,Belet Weyne,2020-07-01,0.2474660340737546,0.3950735349137866
0.4403832811966767,3310.0,0.4583333333333333,0.11,92352.216683081,7,56,Jamaame,2020-07-01,0.3061224489795918,0.39626147855752053
0.3899254108022901,3310.0,0.35333333333333333,0.03,122373.31931054375,7,11,Balcad,2020-07-01,0.4233865465957157,0.43274323868188175
0.4017099370835031,3310.0,0.18333333333333335,0.08,103448.69292549856,7,36,Ceel Afweyn,2020-07-01,0.3018453427065026,0.37145801993755945
0.3489569935965541,3310.0,0.5866666666666667,0.04,61401.072470727006,7,7,Badhaadhe,2020-07-01,0.2774755168661588,0.37275604843101
0.5185117637649114,3310.0,0.43333333333333335,0.02,49878.02246678231,7,80,Tayeeglow,2020-07-01,0.4702754954084098,0.4587115588831252
0.4443390921876267,3310.0,0.515,0.02,282277.1749967973,7,73,Qoryooley,2020-07-01,0.4593911683311274,0.4431507753956286
0.3083621800244197,3310.0,0.2833333333333333,0.0,105508.44272316828,7,33,Cadale,2020-07-01,0.2759462759462759,0.3799387770803487
0.4147038987749591,3310.0,0.3433333333333333,0.01,69325.1698295153,7,82,Wanla Weyn,2020-07-01,0.4714070729872084,0.4434537039736064
0.4454830625784129,3310.0,0.395,0.04,50358.19680656703,7,14,Baraawe,2020-07-01,0.4911894273127753,0.44491058688408314
0.3706782212839118,3310.0,0.19666666666666668,0.12,197917.20494918805,7,53,Hobyo,2020-07-01,0.2841803865425912,0.37233029746091006
0.3772534798111706,3310.0,0.16166666666666665,0.07,137166.99069700082,7,79,Taleex,2020-07-01,0.2834424695977549,0.35861093282344486
0.2081401693223537,3310.0,0.24666666666666667,0.12,194982.61424177085,7,78,Sheikh,2020-07-01,0.1828371278458844,0.2603027673886619
0.2280735519390103,3310.0,0.24333333333333332,0.14,177363.81212203606,7,29,Buuhoodle,2020-07-01,0.1898253606681852,0.27989075718308315
