prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,district_encoded
0.3692,0.0,0.2733333333333334,0.0,6.0,309683.38499999995,1,3
0.338,0.0,0.20833333333333334,0.13,2.0,146038.5,1,51
0.3691999999999999,0.0,0.365,0.18,5.0,95730.255,1,61
0.3588,0.0,0.26666666666666666,0.09,7.0,123818.085,1,71
0.4861999999999999,0.0,0.25,0.11,5.0,85276.75499999999,1,81
0.4356257436740676,0.0,0.20166666666666666,0.0,7.0,42455.7,1,45
0.3692000000000001,0.0,0.27,0.29,3.0,69703.11,1,14
0.3425891325819686,0.0,0.0,0.14,2.0,1027923.705,1,52
0.4732000000000002,0.0,0.18166666666666667,0.09,4.0,278193.50999999995,1,83
0.3692000000000001,0.0,0.26,0.0,7.0,279295.785,1,59
0.4861999999999999,0.0,0.3116666666666667,0.08,5.0,99175.77,1,80
0.429,0.0,0.22833333333333336,0.24,9.0,281126.69999999995,1,17
0.3691999999999998,0.0,0.3466666666666667,0.09,6.0,196309.485,1,73
0.4316,0.0,0.42333333333333334,0.0,6.0,93543.3,1,24
0.3406,0.0,0.18166666666666667,0.07,2.0,62404.28999999999,1,78
0.3795999999999999,0.0,0.20166666666666666,0.04,2.0,491879.61,1,22
0.3692,0.0,0.4116666666666666,0.11,5.0,62978.715,1,77
0.429,0.0,0.2733333333333333,0.25,9.0,181435.5,1,25
0.4316000000000001,0.0,0.39166666666666666,0.09,5.0,103739.085,1,58
0.3692,0.0,0.29,0.0,6.0,141077.745,1,11
0.4316,0.0,0.29333333333333333,0.0,8.0,170132.26499999998,1,6
0.52,0.0,0.20666666666666667,0.19,4.0,130366.52999999998,1,39
0.4290000000000001,0.0,0.2783333333333333,0.16,9.0,76346.775,1,55
0.4315999999999998,0.0,0.18833333333333335,0.0,7.0,100476.765,1,66
0.3692,0.0,0.3116666666666667,0.03,6.0,282222.765,1,67
0.4316000000000001,0.0,0.3333333333333333,0.25,5.0,169536.10499999998,1,56
0.4732,0.0,0.1366666666666667,0.25,4.0,142717.185,1,53
0.3588,0.0,0.345,0.09,7.0,100108.305,1,44
0.4255768922026957,0.0,0.3433333333333333,0.17,5.0,218785.545,1,60
0.3691999999999999,0.0,0.22666666666666666,0.0,4.0,48461.80499999999,1,33
0.4316000000000001,0.0,0.5016666666666667,0.09,5.0,50723.28,1,7
0.3406,0.0,0.15,0.3,2.0,78004.845,1,69
0.4862,0.0,0.24833333333333332,0.14,5.0,113853.105,1,85
0.3926,0.0,0.32166666666666666,0.12,9.0,126308.10395590446,7,25
0.2028,0.0,0.17500000000000002,0.1,3.0,99751.78651328415,7,69
0.3925999999999999,0.0,0.4583333333333333,0.4,5.0,194982.61424177085,7,60
0.3925999999999999,0.0,0.48,0.09,6.0,102232.682999872,7,24
0.351,0.0,0.44,0.0,6.0,282277.1749967973,7,73
0.2886,0.0,0.34,0.11,6.0,69363.1772816809,7,71
0.3926,0.0,0.2333333333333333,0.42,7.0,70367.24202467134,7,45
0.3925999999999999,0.0,0.3383333333333333,0.09,9.0,137166.99069700082,7,55
0.351,0.0,0.38999999999999996,0.0,6.0,197917.20494918805,7,67
0.351,0.0,0.27,0.0,4.0,83698.7844852664,7,33
0.2886000000000001,0.0,0.4116666666666667,0.08,7.0,144645.3749179251,7,44
0.3510000000000001,0.0,0.4716666666666667,0.0,5.0,257277.9921167836,7,61
0.3926,0.0,0.25666666666666665,0.06,7.0,42201.02354780796,7,66
0.1690000000000001,0.0,0.19833333333333333,0.16,3.0,397759.659833392,7,22
0.351,0.0,0.35000000000000003,0.0,6.0,262835.8188681545,7,3
0.3926,0.0,0.43166666666666664,0.08,5.0,72274.03765624086,7,56
0.3925999999999999,0.0,0.365,0.07,8.0,122284.68350495162,7,6
0.4862,0.0,0.3283333333333333,0.11,5.0,119822.71253135678,7,85
0.4003999999999999,0.0,0.18166666666666667,0.15,4.0,90079.84358712788,7,53
0.3926,0.0,0.5316666666666666,0.0,5.0,41293.78545781948,7,7
0.4004000000000001,0.0,0.22,0.03,4.0,34095.52790194442,7,83
0.3925999999999999,0.0,0.4666666666666666,0.08,5.0,177363.81212203606,7,58
0.3510000000000001,0.0,0.47333333333333333,0.0,5.0,24953.239247136426,7,77
0.4861999999999999,0.0,0.32666666666666666,0.09,5.0,122373.31931054375,7,81
0.351,0.0,0.32666666666666666,0.03,6.0,211434.1247319937,7,11
0.1975999999999999,0.0,0.20666666666666667,0.22,4.0,103448.69292549856,7,51
0.3510000000000001,0.0,0.32666666666666666,0.0,5.0,71451.00452711528,7,14
0.4861999999999999,0.0,0.3766666666666667,0.06,5.0,62826.76428427834,7,80
0.351,0.0,0.35000000000000003,0.03,7.0,183042.93582933792,7,59
0.2028,0.0,0.19999999999999998,0.05,3.0,65965.83992880996,7,78
0.3926,0.0,0.26,0.22,9.0,257210.9053470947,7,17
0.4211999999999999,0.0,0.23166666666666666,0.13,4.0,103004.37800500816,7,39
0.1975999999999999,0.0,0.0,0.23,4.0,959744.1903862744,7,52
0.2386485041615721,0.0,0.024999999999999998,0.12,2.0,959744.1903862744,1,52
0.4685498464822668,0.0,0.4383333333333333,0.13,5.0,194982.61424177085,1,60
0.5392512067568789,0.0,0.22,0.27,7.0,70367.24202467134,1,45
0.3354148794445133,0.0,0.18166666666666667,0.09,4.0,90079.84358712788,1,53
0.4769534198876959,0.0,0.41333333333333333,0.07,7.0,144645.3749179251,1,44
0.3830459721840857,0.0,0.3416666666666666,0.01,7.0,183042.93582933792,1,59
0.4461179568825337,0.0,0.5216666666666666,0.04,5.0,257277.9921167836,1,61
0.4060356888423295,0.0,0.46,0.01,5.0,177363.81212203606,1,58
0.4077438698894172,0.0,0.39666666666666667,0.02,5.0,72274.03765624086,1,56
0.2443191130723181,0.0,0.235,0.09,2.0,103448.69292549856,1,51
0.5092847348131929,0.0,0.33666666666666667,0.08,7.0,69363.1772816809,1,71
0.3142399717243435,0.0,0.24333333333333332,0.02,4.0,103004.37800500816,1,39
0.384859060068862,0.0,0.33166666666666667,0.01,6.0,262835.8188681545,1,3
0.2972606382668021,0.0,0.35000000000000003,0.02,8.0,122284.68350495162,1,6
0.4689020964811947,0.0,0.3283333333333333,0.05,5.0,119822.71253135678,1,85
0.3711192650605567,0.0,0.5516666666666666,0.01,5.0,41293.78545781948,1,7
0.3447106682656731,0.0,0.235,0.01,4.0,34095.52790194442,1,83
0.3580405856281527,0.0,0.33166666666666667,0.02,6.0,211434.1247319937,1,11
0.4748949097855825,0.0,0.295,0.04,5.0,122373.31931054375,1,81
0.3785774588022779,0.0,0.285,0.0,5.0,71451.00452711528,1,14
0.3502607787971933,0.0,0.39666666666666667,0.05,5.0,62826.76428427834,1,80
0.4123022966960434,0.0,0.22833333333333336,0.01,7.0,42201.02354780796,1,66
0.2505864840856458,0.0,0.21833333333333335,0.14,2.0,65965.83992880996,1,78
0.2406251937071188,0.0,0.22999999999999998,0.2,2.0,397759.659833392,1,22
0.4309610549243231,0.0,0.5216666666666666,0.03,5.0,24953.239247136426,1,77
0.4637281725694139,0.0,0.245,0.1,9.0,222898.05826843024,1,17
0.3858321287337016,0.0,0.315,0.06,9.0,137166.99069700082,1,55
0.4125181113098476,0.0,0.48333333333333334,0.01,6.0,102232.682999872,1,24
0.4363798525409664,0.0,0.4483333333333333,0.03,6.0,282277.1749967973,1,73
0.3908949717937982,0.0,0.3183333333333333,0.08,9.0,126308.10395590446,1,25
0.3971406259324205,0.0,0.405,0.03,5.0,197917.20494918805,1,67
0.2829201738380863,0.0,0.26666666666666666,0.04,4.0,83698.7844852664,1,33
0.2303423878316652,0.0,0.17,0.13,2.0,99751.78651328415,1,69
0.4097136186539254,0.0,0.19833333333333333,0.01,6.0,42201.02354780796,7,66
0.4391758387432182,0.0,0.44333333333333336,0.04,5.0,257277.9921167836,7,61
0.48161201917032,0.0,0.2816666666666667,0.05,5.0,119822.71253135678,7,85
0.3440937497588239,0.0,0.22,0.01,3.0,34095.52790194442,7,83
0.4356751207813825,0.0,0.3183333333333333,0.03,5.0,197917.20494918805,7,67
0.4361091139158288,0.0,0.29,0.01,6.0,183042.93582933792,7,59
