district,date,next_prevalence,predictions_model_2,predictions_model_3
Burtinle,2020-07-01,0.3781725888324873,0.3840064651259848,0.3632079716908554
Garoowe,2020-07-01,0.3128870890900428,0.307259778534552,0.2951273078076467
Qardho,2020-07-01,0.3539238539238539,0.3797104402032957,0.3804674887090378
Doolow,2020-07-01,0.3641207815275311,0.4063557231102684,0.3922084556117991
Iskushuban,2020-07-01,0.2954636692091529,0.340857469682371,0.3734299708334094
Belet Weyne,2020-07-01,0.2474660340737546,0.3950735349137866,0.4684476851009728
Jamaame,2020-07-01,0.3061224489795918,0.3962614785575205,0.4045493320479819
Balcad,2020-07-01,0.4233865465957157,0.4327432386818817,0.4246349300306877
Ceel Afweyn,2020-07-01,0.3018453427065026,0.3714580199375594,0.3918806699402647
Badhaadhe,2020-07-01,0.2774755168661588,0.37275604843101,0.3394569930127835
Tayeeglow,2020-07-01,0.4702754954084098,0.4587115588831252,0.4532141268837781
Qoryooley,2020-07-01,0.4593911683311274,0.4431507753956286,0.4086843393953311
Cadale,2020-07-01,0.2759462759462759,0.3799387770803487,0.3738784215956127
Wanla Weyn,2020-07-01,0.4714070729872084,0.4434537039736064,0.4402871336608058
Baraawe,2020-07-01,0.4911894273127753,0.4449105868840831,0.4257167927317761
Hobyo,2020-07-01,0.2841803865425912,0.37233029746091,0.3935928885023081
Taleex,2020-07-01,0.2834424695977549,0.3586109328234448,0.335683256870052
Sheikh,2020-07-01,0.1828371278458844,0.2603027673886619,0.2322385041702087
Buuhoodle,2020-07-01,0.1898253606681852,0.2798907571830831,0.2330176241186991
Garbahaarey,2020-07-01,0.3637295081967213,0.4084928503039297,0.4249350584763431
Jalalaqsi,2020-07-01,0.1947145350286711,0.4690066977764118,0.3848114215833368
Ceerigaabo,2020-07-01,0.263567871280807,0.3578003845923057,0.3417047381736816
Sablaale,2020-07-01,0.4548825710754017,0.4906799000098014,0.4404852258766588
Bulo Burto,2020-07-01,0.1980742778541953,0.4443876600992851,0.4263865947694022
Dhuusamarreeb,2020-07-01,0.3271635817908954,0.3850716055281429,0.4267155409156041
Diinsoor,2020-07-01,0.492387605230163,0.4220416458505694,0.4581462090796211
Xarardheere,2020-07-01,0.2414050822122571,0.3873899738339528,0.392434884949898
Waajid,2020-07-01,0.4933524973050665,0.4490174701882058,0.4537144188026573
Hargeysa,2020-07-01,0.1965854943370926,0.2075422574674949,0.2058641079344364
Jilib,2020-07-01,0.3124158815612382,0.3745014717351733,0.3692508093926472
Bossaso,2020-07-01,0.3622932391199615,0.418459073358245,0.4206333972164471
Qansax Dheere,2020-07-01,0.5084745762711864,0.4343940548578188,0.4271039868216209
Zeylac,2020-07-01,0.1853759011328527,0.3273515317529025,0.2791291584182801
Caynabo,2020-07-01,0.2574626865671642,0.3530843032910139,0.3430141161768161
Ceel Waaq,2020-07-01,0.2664990571967316,0.4007307896923199,0.3592485484067036
Bu'aale,2020-07-01,0.3788461538461538,0.3777839731217963,0.3914572203624273
Afgooye,2020-07-01,0.4841321666449001,0.3946152680998185,0.4380314450354794
Kurtunwaarey,2020-07-01,0.4643330681516839,0.4472956699943575,0.4380754022689935
Gaalkacyo,2020-07-01,0.3833366448109146,0.4310414986618848,0.4256653036522248
Ceel Dheer,2020-07-01,0.2814535481659239,0.3777911264184356,0.3552028526487455
Gebiley,2020-07-01,0.1924063622370446,0.2753380351651054,0.2271735940265208
Kismaayo,2020-07-01,0.3705150271415331,0.3946318791607836,0.4118283759824484
Jowhar,2020-07-01,0.4605536885901744,0.4601189805487338,0.4553963841627969
Marka,2020-07-01,0.4615277970331346,0.490730276010076,0.4508836891031289
Luuq,2020-07-01,0.3583282114320836,0.4293125680330761,0.393647041477164
Berbera,2020-07-01,0.2058333333333333,0.23003167138543,0.22275973463791
Eyl,2020-07-01,0.3083090379008746,0.327645958054757,0.3226012795685933
Baardheere,2020-07-01,0.2388133498145859,0.3384300747156022,0.3219773061029745
Borama,2020-07-01,0.1912113359430997,0.2580730052350364,0.2104286602697403
Ceel Buur,2020-07-01,0.3598183881952327,0.3855773832046376,0.415001652367941
Galdogob,2020-07-01,0.4519462624870823,0.4251758591417255,0.4030586223100031
Qandala,2020-07-01,0.3550690147548786,0.4031529244867795,0.4074964991315958
Caluula,2020-07-01,0.3592467407049734,0.42985232077605,0.4226857282457931
Owdweyne,2020-07-01,0.1948497854077253,0.2223414196820225,0.208521564718002
Xudur,2020-07-01,0.5317134742821079,0.4885775511346734,0.4934643394538262
Gebiley,2021-01-01,0.2876174019676151,0.2522469449040561,0.2381025269747125
Hargeysa,2021-01-01,0.2676350893059009,0.2217300929739997,0.216390710956112
Waajid,2021-01-01,0.4498858793883663,0.4709334198422028,0.4697800016385728
Baardheere,2021-01-01,0.3868994061543999,0.3573075356082218,0.3387791459707646
Hobyo,2021-01-01,0.2851447172525171,0.2870689170937804,0.3574305479501438
Ceel Buur,2021-01-01,0.3584365855515789,0.3499266093318926,0.3934807347058865
Garoowe,2021-01-01,0.3763941017333375,0.3562509632411027,0.3550518800620357
Wanla Weyn,2021-01-01,0.4482908617511664,0.4555226713011135,0.432300831088515
Ceerigaabo,2021-01-01,0.2245768359322937,0.256344713925456,0.2855430147176515
Xudur,2021-01-01,0.4472915724098218,0.4595327712473708,0.4932265829790734
Zeylac,2021-01-01,0.2391876511594821,0.3100908443103867,0.2638944410627934
Badhaadhe,2021-01-01,0.4056724072698737,0.3210867861920309,0.326322069015321
